name,attenuation_min,attenuation_max,type,alcohol_tolerance
Weizen I,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,38.4615
West Abbey Ale,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 86, 'unit': 'PERCENT_SIGN'}",ALE,53.8462
Wild Thing,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
SafAle BE-134,"{'value': 89, 'unit': 'PERCENT_SIGN'}","{'value': 93, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle BE-256,"{'value': 82, 'unit': 'PERCENT_SIGN'}","{'value': 86, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle F-2,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,10
SafAle K-97,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 84, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle S-04,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle S-33,"{'value': 68, 'unit': 'PERCENT_SIGN'}","{'value': 72, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle T-58,"{'value': 66.6667, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11.5
SafAle US-05,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
SafAle WB-06,"{'value': 86, 'unit': 'PERCENT_SIGN'}","{'value': 90, 'unit': 'PERCENT_SIGN'}",ALE,10
SafBrew DA-16,"{'value': 98, 'unit': 'PERCENT_SIGN'}","{'value': 102, 'unit': 'PERCENT_SIGN'}",ALE,16
SafBrew HA-18,"{'value': 98, 'unit': 'PERCENT_SIGN'}","{'value': 102, 'unit': 'PERCENT_SIGN'}",ALE,18
SafBrew LA-01,"{'value': 15, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
SafLager S-189,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 84, 'unit': 'PERCENT_SIGN'}",LAGER,10
SafLager S-23,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 84, 'unit': 'PERCENT_SIGN'}",LAGER,10
SafLager W-34/70,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 84, 'unit': 'PERCENT_SIGN'}",LAGER,10
SafSour LP 652,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},BACTERIA,0.0
A Touch Of Spice Belgian Ale,"{'value': 81, 'unit': 'PERCENT_SIGN'}","{'value': 84, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Altstadt Ale,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 81, 'unit': 'PERCENT_SIGN'}",ALE,0.0
American Lager,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",LAGER,0.0
Bavarian Hefe,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 81, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Belgian Abbey Ale,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 81, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Mix,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 81, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Tripel,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Wit,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 79, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Berliner Blend,"{'value': 89, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
British Ale #1,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 79, 'unit': 'PERCENT_SIGN'}",ALE,0.0
British Ale #2,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Brussels Bruxellensis,"{'value': 58, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,10
Brux Blend,"{'value': 79, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Czech Pilsner,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 79, 'unit': 'PERCENT_SIGN'}",LAGER,0.0
Farmhouse Sour,"{'value': 89, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
German Ale Yeast,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,0.0
German Lager,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",LAGER,0.0
Gigayeast Lacto,"{'value': 15, 'unit': 'PERCENT_SIGN'}","{'value': 40, 'unit': 'PERCENT_SIGN'}",BACTERIA,0.0
Golden Gate Lager,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",LAGER,0.0
Golden Pear Belgian,"{'value': 83, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Hornindal Kveik #5,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",KVEIK,13
Irish Stout,"{'value': 82, 'unit': 'PERCENT_SIGN'}","{'value': 86, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Kolsch Bier,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Kveik #1,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",KVEIK,0.0
Norcal Ale #1,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,11
Norcal Ale #5,"{'value': 69, 'unit': 'PERCENT_SIGN'}","{'value': 73, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Portland Hefe,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Quebec Abbey Ale,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison #1,"{'value': 81, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison #2,"{'value': 79, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison Blend,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison Sour,"{'value': 78, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Scotch Ale #1,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Sour Cherry Funk,"{'value': 51, 'unit': 'PERCENT_SIGN'}","{'value': 89, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Sour Plum Belgian,"{'value': 77, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Sweet Flemish Brett,"{'value': 84, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,10
Tart Cherry Brett,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,10
Vermont Ipa,"{'value': 78, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,11
Barbarian,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,10
Bartleby,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",KVEIK,10
Cablecar,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",LAGER,10
Citrus,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
Darkness,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,12
Dieter,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
Dry Hop,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
Flagship,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,12
Global,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",LAGER,10
Gnome,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,12
Harvest,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",LAGER,10
House,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,10
Independence,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,12
Joystick,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,12
Juice,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,10
Kaiser,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
Kveiking,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",KVEIK,12
Loki,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",KVEIK,10
Napoleon,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",ALE,12
POG,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",KVEIK,10
Pub,"{'value': 64, 'unit': 'PERCENT_SIGN'}","{'value': 70, 'unit': 'PERCENT_SIGN'}",ALE,10
Rustic,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,12
Sour Batch Kidz,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 95, 'unit': 'PERCENT_SIGN'}",ALE,12
Stefon,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
Suburban Brett,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",BRETT,12
Tartan,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,10
Triple Double,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,12
Urkel,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",LAGER,10
Whiteout,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,10
