name,alpha_acid,origin
Hallertau (NZ),8,New Zealand
Hallertauer Gold,8.5,Germany
Jester®,8,UK
Nordgaard,7.5,Uncertain (Belgium or Denmark)
Goldings (NZ),4.1,New Zealand
Amarillo™ VGXP01,9.5,US
Centennial,10.5,US
Apollo,17.5,US
BOR,2.5,US
Hüll Melon,7.2,Germany
Keyworth’s Midseason,7.5,UK
Delta,6.25,US
Pioneer,9,UK
Chelan,13.75,US
Magnum,13,Germany
Fuggle N,5.6,UK
Hersbrucker Red-Stem,5.5,Germany
Nadwislanska,4,Poland
Willamette (AUS),6.1,Australia
Columbus,16,US
Bitter Gold,17.1,US
Southern Brewer,8.8,Unknown
Canterbury Whitebine,0.0,UK
Equinox,15,US
Neoplanta,9.7,Slovenia
Polaris,20.5,Germany
Sussex,5.05,UK
Saxon,9,UK
Alliance,6.05,UK
Herald,12.350000000000001,UK
Eastwell Golding,6,UK
Mathon,5.550000000000001,UK
Buket,11,Slovenia
Chinook,13,Unknown
Hüller Bitterer,5.75,Germany
Styrian Wolf,14.25,Slovenia
Blato,4.5,Czech Republic
Bramling,5.8,UK
Cascade (Australia),6,Australia
Mount Hood,6,US
Fantasia®,4.3,Unknown
Super Galena,14.5,United States
Tsingdao Flower,7,China
Amarillo® VGXP01 c.v.,9.5,United States
Topaz™,16.75,Australia
Northern Brewer,9,United States
Hallertauer Magnum,13.5,Germany
Enigma™,15,Australia
Mosaic®,12.5,United States
Extra Styrian Dana,15.65,Slovenia
Summit®,17,United States
Fuggles,4.3,Great Britain
Diamant,0.0,Germany
Hersbrucker Spät,2.75,Germany
Talus™,8.8,United States
Ella™,14.8,Australia
Lublin,3.75,Poland
Azacca™,15,United States
Saazer,4.5,Czech Republic
Loral®,11,United States
Wye Challenger,7.5,Great Britain
Kazbek,6.5,Czech Republic
Relax,0.9,Germany
Hallertauer Mittelfrüher,4.25,Germany
Endeavour,9.05,Great Britain
Mt. Hood,5.5,United States
Pahto,18.5,United States
Galaxy,13.5,Australia
Whitbread Golding Variety (WGV),6.550000000000001,Great Britain
National,5.5,Ukraine
Harmonie,6.5,Czech Republic
Sybilla,7.25,Poland
Magnat,13.5,Poland
Cluster,7,United States
Tettnang Tettnanger,4,Germany
Spalt Spalter,4,Germany
Callista,3.5,Germany
Ariana,11.5,Germany
Styrian Savinjski Golding,5.25,Slovenia
Wye Target,11,Great Britain
Monroe,2.8499999999999996,Germany
Saaz Late,4.75,Czech Republic
Huell Melon,7.5,Germany
Brewers Gold,5.5,Great Britain
Cascade,5.75,United States
Triple Pearl,10.75,United States
Palisade,7.5,United States
Marco Polo,12.5,China
Ekuanot®,15,United States
