name,type,color_ebc,yield_percentage,protein
Smoked Malt Plus,GRAIN,6,75.0,0.0
Brewers Malt,GRAIN,3.5,75.0,11.5
Full Pint Brewers Malt,GRAIN,3.3,75.0,11.2
Synergy Select Pilsen Malt,GRAIN,3.5,75.0,10.9
Synergy Select Pilsen MaltGems™,GRAIN,3.5,75.0,10.9
Pilsen Malt,GRAIN,2.4,75.0,11.3
"Wheat Malt, White",GRAIN,5.5,75.0,11.5
"Wheat Malt, Red ",GRAIN,5.9,75.0,12.5
Goldpils® Vienna Malt,GRAIN,6.9,75.0,12
Pale Ale Malt,GRAIN,6.9,75.0,11.7
Ashburne® Mild Malt,GRAIN,10.4,75.0,11.7
Bonlander® Munich Malt 10L,GRAIN,19.7,75.0,11.7
Aromatic Munich Malt 20L,GRAIN,39.4,75.0,11.7
Dark Munich Malt 30L,GRAIN,59.1,75.0,12
Carapils® Malt,GRAIN,3,75.0,0.0
Carapils® Copper Malt,GRAIN,59.1,75.0,0.0
Blonde RoastOat™ Malt,GRAIN,11.8,75.0,0.0
American Honey Malt,GRAIN,49.3,75.0,0.0
Victory® Malt,GRAIN,55.2,75.0,0.0
Special Roast Malt,GRAIN,78.8,75.0,0.0
Extra Special Malt,GRAIN,256.1,75.0,0.0
Rye Malt,GRAIN,7.3,75.0,10
"Smoked Malt, Apple Wood",GRAIN,11.8,75.0,11
"Smoked Malt, Cherry Wood",GRAIN,9.9,75.0,11
"Smoked Malt, Mesquite",GRAIN,9.9,75.0,11
Caramel Malt 10L,GRAIN,19.7,75.0,0.0
Caramel Malt 20L,GRAIN,39.4,75.0,0.0
Caramel Malt 30L,GRAIN,59.1,75.0,0.0
Caramel Malt 40L,GRAIN,78.8,75.0,0.0
Caramel Malt 60L,GRAIN,118.2,75.0,0.0
Caramel Malt 80L,GRAIN,157.6,75.0,0.0
Caramel Malt 90L,GRAIN,177.3,75.0,0.0
Caramel Malt 120L,GRAIN,236.4,75.0,0.0
Caramel Rye Malt,GRAIN,118.2,75.0,0.0
Caramel Vienne Malt 20L ,GRAIN,39.4,75.0,0.0
Caramel Munich Malt 60L,GRAIN,118.2,75.0,0.0
Caracrystal® Wheat Malt,GRAIN,108.4,75.0,0.0
Carabrown® Malt,GRAIN,108.4,75.0,0.0
Chocolate Malt,GRAIN,689.5,75.0,0.0
Dark Chocolate Malt,GRAIN,827.4,75.0,0.0
Black Malt,GRAIN,985,75.0,0.0
Black Malted Barley Flour,GRAIN,985,75.0,0.0
Blackprinz® Malt,GRAIN,985,75.0,0.0
Midnight Wheat Malt,GRAIN,1083.5,75.0,0.0
Roasted Barley,GRAIN,591,75.0,0.0
Black Barley,GRAIN,1083.5,75.0,0.0
Hook Head Series Ale Malt,GRAIN,6,75.0,10.5
Hook Head Series Lager Malt ,GRAIN,3.8,75.0,10.5
Wheat Malt,GRAIN,5,75.0,12
1914 Spratt Archer Mild Ale Malt,GRAIN,7.3,75.0,12.1
Organic Malt,GRAIN,3.8,75.0,0.0
Pre 1898 Old Irish Melanoidin Malt,GRAIN,93.8,75.0,13.1
Rye Malt,GRAIN,8,75.0,10.2
1959 Hunter Pale Ale Malt,GRAIN,6,75.0,11.8
Vienna Malt ,GRAIN,12,75.0,11.5
Keep Flying – Maris Otter,GRAIN,6,75.0,10.2
Albino Whale – Extra Pale Ale Malt,GRAIN,3.5,75.0,10.2
Greedy Goats – Rolled Oats,GRAIN,7.5,75.0,0.0
Rough Tide – Torrefied Wheat,GRAIN,5,75.0,0.0
Washy Frothy – Wheat Malt,GRAIN,5,75.0,12
Angry Angler – Roast Barley,GRAIN,1600,75.0,0.0
Black Bear – Black Malt,GRAIN,1600,75.0,0.0
Captains Classic – Cara Malt,GRAIN,35,75.0,0.0
Dead Straight – Amber Malt,GRAIN,90,75.0,0.0
Deep Diver – Dark Crystal Malt,GRAIN,250,75.0,0.0
Lucky Squid – Light Crystal Malt,GRAIN,130,75.0,0.0
Mark 5 – Medium Crystal,GRAIN,190,75.0,0.0
Miserable Fish – Melanoidin Malt,GRAIN,50,75.0,11.5
Muscley – Munich Malt,GRAIN,16,75.0,11.5
Odd Amphibian – Lager Malt,GRAIN,5,75.0,11.25
Pale Whale – Pale Malt,GRAIN,6,75.0,10.2
Reliable Lighthouse – Chocolate Malt,GRAIN,1000,75.0,0.0
Reliable Lighthouse Light – Light Chocolate Malt,GRAIN,600,75.0,0.0
Pure Local Pilsen,GRAIN,4.5,75.0,11.5
Wheat Malt,GRAIN,5.5,75.0,14
Pale Ale Malt,GRAIN,7,75.0,5
Pilsen Malt,GRAIN,4.5,75.0,5
Vienna Malt,GRAIN,12,75.0,11.5
Munich Malt,GRAIN,35,75.0,5
CHÂTEAU PILSEN 2RS,GRAIN,3.5,75.0,11.5
PILSEN 2RS MALTEUROP,GRAIN,3.5,75.0,11.5
CHÂTEAU PILSEN 6RW,GRAIN,3.5,75.0,11.5
CHÂTEAU VIENNA®,GRAIN,7,75.0,11.5
CHÂTEAU PALE ALE®,GRAIN,10,75.0,11.5
PALE ALE MALTEUROP,GRAIN,7,75.0,11.5
CHÂTEAU MUNICH LIGHT®,GRAIN,17,75.0,11.5
CHÂTEAU MUNICH,GRAIN,25,75.0,11.5
CHÂTEAU MELANO LIGHT,GRAIN,40,75.0,0.0
CHÂTEAU MELANO LIGHT NATURE,GRAIN,40,75.0,0.0
CHÂTEAU MELANO,GRAIN,80,75.0,0.0
CHÂTEAU MELANO NATURE,GRAIN,80,75.0,0.0
CHÂTEAU ABBEY® (CHÂTEAU MONASTIQUE for the US market),GRAIN,45,75.0,0.0
CHÂTEAU BISCUIT®,GRAIN,50,75.0,0.0
CHÂTEAU CARA CLAIR®,GRAIN,9,75.0,11.5
CHÂTEAU CARA BLOND ®,GRAIN,20,75.0,0.0
CHÂTEAU CARA BELGA,GRAIN,35,75.0,0.0
CHÂTEAU CARA RUBY®,GRAIN,50,75.0,0.0
CHÂTEAU CARA AMBRA,GRAIN,80,75.0,0.0
CHÂTEAU CARA AROMA,GRAIN,100,75.0,0.0
CHÂTEAU CARA AROMA NATURE,GRAIN,100,75.0,0.0
CHÂTEAU CARA GOLD®,GRAIN,120,75.0,0.0
CHÂTEAU CARA CRYSTAL NATURE,GRAIN,160,75.0,0.0
CHÂTEAU CARA CRYSTAL,GRAIN,160,75.0,0.0
CHÂTEAU AROME NATURE,GRAIN,100,75.0,0.0
CHÂTEAU AROME,GRAIN,100,75.0,0.0
CHÂTEAU CRYSTAL®,GRAIN,150,75.0,0.0
CHÂTEAU CAFE LIGHT NATURE,GRAIN,250,75.0,0.0
CHÂTEAU CAFE NATURE,GRAIN,500,75.0,0.0
CHÂTEAU CAFE,GRAIN,500,75.0,0.0
CHÂTEAU SPECIAL Belgium®,GRAIN,300,75.0,0.0
CHÂTEAU CARA TERRA,GRAIN,220,75.0,0.0
CHÂTEAU CARA CAFE,GRAIN,450,75.0,0.0
CHÂTEAU CHOCOLAT LIGHT,GRAIN,650,75.0,0.0
CHÂTEAU CARA CAFE NATURE,GRAIN,450,75.0,0.0
CHÂTEAU CHOCOLAT,GRAIN,1000,75.0,0.0
CHÂTEAU BLACK,GRAIN,1300,75.0,0.0
CHÂTEAU BLACK OF BLACK,GRAIN,800,75.0,0.0
CHÂTEAU ROASTED BARLEY,GRAIN,1400,75.0,0.0
CHÂTEAU WHEAT BLANC,GRAIN,5.5,75.0,14
CHÂTEAU EMMER MALT,GRAIN,5,75.0,20
CHÂTEAU WHEAT AROME,GRAIN,100,75.0,0.0
CHÂTEAU WHEAT CAFE,GRAIN,450,75.0,0.0
WHEAT BLANC MALTEUROP,GRAIN,5.5,75.0,12.7
CHÂTEAU WHEAT MUNICH LIGHT 16 EBC,GRAIN,16,75.0,14
CHÂTEAU WHEAT MUNICH 25,GRAIN,25,75.0,14
CHÂTEAU WHEAT CRYSTAL,GRAIN,150,75.0,0.0
CHÂTEAU WHEAT CHOCOLAT,GRAIN,1100,75.0,0.0
CHÂTEAU WHEAT BLACK,GRAIN,1400,75.0,0.0
CHÂTEAU DIASTATIC,GRAIN,4.5,75.0,11.5
CHÂTEAU PEATED,GRAIN,4,75.0,11.7
CHÂTEAU OAT MALT,GRAIN,2.3,75.0,14
CHÂTEAU RAW OAT,GRAIN,7,75.0,14
CHÂTEAU SPELT MALT,GRAIN,7,75.0,17
CHÂTEAU SMOKED,GRAIN,12,75.0,11.5
CHÂTEAU ACID,GRAIN,13,75.0,11.5
CHÂTEAU RYE MALT,GRAIN,8,75.0,11
CHÂTEAU PILSEN NATURE®,GRAIN,3.5,75.0,12
CHÂTEAU VIENNA NATURE,GRAIN,7,75.0,12
CHÂTEAU PALE ALE NATURE,GRAIN,10,75.0,11.7
CHÂTEAU MUNICH LIGHT NATURE,GRAIN,12,75.0,12
CHÂTEAU MUNICH NATURE,GRAIN,25,75.0,11.7
CHÂTEAU ABBEY NATURE® (CHÂTEAU MONASTIQUE NATURE for the US Market),GRAIN,45,75.0,0.0
CHÂTEAU BISCUIT NATURE,GRAIN,50,75.0,0.0
CHÂTEAU CARA BLOND NATURE,GRAIN,20,75.0,0.0
CHÂTEAU CARA CLAIR NATURE,GRAIN,9,75.0,11.7
CHÂTEAU CARA RUBY NATURE®,GRAIN,50,75.0,0.0
CHÂTEAU CARA GOLD NATURE®,GRAIN,120,75.0,0.0
CHÂTEAU CRYSTAL NATURE,GRAIN,150,75.0,0.0
CHÂTEAU SPECIAL Belgium NATURE,GRAIN,300,75.0,0.0
CHÂTEAU CHOCOLAT NATURE®,GRAIN,1000,75.0,0.0
CHÂTEAU BLACK OF BLACK NATURE®,GRAIN,800,75.0,0.0
CHÂTEAU BLACK NATURE®,GRAIN,1300,75.0,0.0
CHÂTEAU WHEAT BLANC NATURE,GRAIN,5,75.0,14
CHÂTEAU CARA WHEAT BLOND NATURE*,GRAIN,15,75.0,0.0
CHÂTEAU CARA WHEAT RUBY NATURE*,GRAIN,60,75.0,0.0
CHÂTEAU PEATED NATURE*,GRAIN,5,75.0,12
CHÂTEAU BUCKWHEAT NATURE® MALT,GRAIN,15,75.0,11
MALT CHÂTEAU SPELT NATURE®,GRAIN,7,75.0,17
CHÂTEAU SMOKED NATURE®,GRAIN,12,75.0,11.5
CHÂTEAU ACID NATURE®,GRAIN,13,75.0,11.5
MALT CHÂTEAU RYE NATURE®,GRAIN,10,75.0,11
CHÂTEAU CHIT BARLEY NATURE MALT FLAKES,GRAIN,7,75.0,11.5
CHÂTEAU CHIT WHEAT NATURE MALT FLAKES,GRAIN,9,75.0,12
Finest Maris Otter Ale Malt,GRAIN,7.5,75.0,10
Extra Pale Maris Otter Malt,GRAIN,4,75.0,10
Chevallier Heritage Malt,GRAIN,7.5,75.0,11.3
Malts/Best Ale Malt,GRAIN,7.5,75.0,10.3
Extra Pale Ale Malt,GRAIN,4,75.0,10.3
Europils Malt,GRAIN,4,75.0,11
German Pilsen Malt,GRAIN,4.5,75.0,12
Clear Choice Malt,GRAIN,8.5,75.0,11.3
Clear Choice Malt Extra Pale,GRAIN,4.5,75.0,11.3
Vienna Malt,GRAIN,10,75.0,0.0
Scottish Pale Ale Malt,GRAIN,7.5,75.0,10.3
Scottish Extra Pale Ale Malt,GRAIN,4,75.0,10.3
Amber Malt,GRAIN,85,75.0,0.0
Brown Malt,GRAIN,150,75.0,0.0
Low Colour Chocolate Malt/,GRAIN,660,75.0,0.0
Chocolate Malt,GRAIN,1155,75.0,0.0
Extra Light Crystal Crystal 100,GRAIN,100,75.0,0.0
Light Crystal Crystal 150,GRAIN,150,75.0,0.0
Medium Crystal Crystal 240,GRAIN,290,75.0,0.0
